,smiles,prediction,prediction_type
3,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,8.808461507936512,regression
1083,CC1(COC1)NC2=NN=C(C(=C2)NC3=CC=CC(=C3OC)C4=NN(C=N4)C)C(=O)NC,8.347487500000002,regression
3414,C1C2CC3CC(C2)(CC1C3NC4=C5C=CNC5=NC=C4C(=O)N)O,8.303913174603178,regression
6,NC(=O)c1cnc2[nH]ccc2c1N[C@H]1[C@H]2CC3C[C@@H]1C[C@](O)(C3)C2,8.303913174603178,regression
2,[2H]C([2H])([2H])NC(=O)c1cnc(NC(=O)C2CC2)cc1Nc1cc(F)cc(-c2ncccn2)c1OC,8.284342857142853,regression
3591,C1C2CC3CC(C2)(CC1C3NC4=C5C=CNC5=NC=C4C(=O)N)C#N,8.253529841269842,regression
3593,C1C2CC3CC(C2)(CC1C3NC4=C5C=CNC5=NC=C4C(=O)N)C(=O)N,8.251833174603174,regression
3435,CC12CC3CC(C1)C(C(C3)C2)NC4=C5C=CNC5=NC=C4C(=O)N,8.249483174603172,regression
3601,C1C2CC3CC(C2)(CC1C3NC4=C5C=CNC5=NC=C4C(=O)N)N,8.247599841269842,regression
3541,C1C2CC3CC(C2)(CC1C3NC4=C5C=CNC5=NC=C4C(=O)N)C(=O)O,8.239533174603174,regression
